Rank each chicken dish [red spice chicken],Rank each chicken dish [honey mustard chicken],Rank each chicken dish [chicken enchiladas],Rank each chicken dish [chicken from the grill],Rank each chicken dish [chicken parmesan],Rank each chicken dish [chicken nuggets],Rank each chicken dish [chicken tendies],Rank each chicken dish [general tso's chicken],Rank each chicken dish [popcorn chicken],Rank each chicken dish [butter chicken],Rank each chicken dish [spicy chicken with chiles],Rank each chicken dish [fried buttermilk chicken],Rank each chicken dish [brunch chicken stuffed with broccoli]
4,8,2,9,6,,,3,5,8,1 (best chicken),2,7
,4,,1 (best chicken),3,2,7,5,,9,,8,6
,4,,,,,,2,,1 (best chicken),,,3
5,9,9,9,1 (best chicken),4,2,7,3,9,8,6,9
,,,,,,,,,9,,9,
2,3,4,3,1 (best chicken),4,2,4,1 (best chicken),3,3,4,2
2,3,4,3,1 (best chicken),4,2,4,1 (best chicken),3,3,4,2
,9,,,3,,6,1 (best chicken),4,5,8,7,2
2,9,6,5,4,5,2,5,7,3,9,1 (best chicken),7
3,2,9 (worst chicken),1 (best chicken),4,8,7,6,5,,,,
5,,2,8,1 (best chicken),6,4,7,3,,,,
5,5,1 (best chicken),6,1 (best chicken),6,1 (best chicken),2,1 (best chicken),2,6,1 (best chicken),1 (best chicken)
9 (worst chicken),7,1 (best chicken),2,8,4,3,6,5,,,,
9 (worst chicken),4,8,5,7,2,3,6,1 (best chicken),,,,
8,10,13 (worst chicken),11,5,9,2,3,1 (best chicken),6,,7,4
1 (best chicken),8 (worst chicken),5,6,2,3,4,7,,,,,
8,9 (worst chicken),7,4,2,3,1 (best chicken),6,5,,,,
8 (worst chicken),1 (best chicken),8 (worst chicken),3,3,1 (best chicken),1 (best chicken),3,,,,,
,,,,,,1 (best chicken),,,,,,
3,7,5,4,3,4,4,7,5,2,9,3,1 (best chicken)
,,,,,,,,,,,,
2,4,3,4,2,2,2,1 (best chicken),2,4,1 (best chicken),1 (best chicken),1 (best chicken)
3,2,2,2,1 (best chicken),3,1 (best chicken),1 (best chicken),2,2,3,1 (best chicken),1 (best chicken)
6,3,5,8,9 (worst chicken),4,2,7,1 (best chicken),,,,
8 (worst chicken),3,4,6,1 (best chicken),5,2,7,,,,,
1 (best chicken),6,7,4,3,5,2,8 (worst chicken),,,,,
1 (best chicken),2,3,1 (best chicken),1 (best chicken),3,3,2,2,4,4,4,1 (best chicken)
1 (best chicken),2,3,1 (best chicken),1 (best chicken),3,3,2,2,4,4,4,1 (best chicken)
1 (best chicken),3,4,3,4,2,2,2,,,,,
1 (best chicken),,6,,3,8,4,9,7,5,,2,
6,8 (worst chicken),6,5,1 (best chicken),1 (best chicken),1 (best chicken),2,,,,,
8,9,1 (best chicken),,4,,3,,2,7,,5,6
1 (best chicken),3,6,9,1 (best chicken),4,4,5,1 (best chicken),3,7,5,1 (best chicken)
2,8,3,6,7,5,1 (best chicken),9 (worst chicken),4,,,,
1 (best chicken),5,1 (best chicken),6,3,7,5,4,5,7,7,6,2
1 (best chicken),5,8 (worst chicken),7,2,6,3,4,,,,,
9,8,7,5,4,3,2,8,1 (best chicken),6,6,6,
9,4,7,5,1 (best chicken),3,5,9,2,5,7,,
7,13 (worst chicken),12,11,6,4,2,10,1 (best chicken),5,9,8,3
,,,9,1 (best chicken),6,4,7,2,5,8,,3
13 (worst chicken),10,12,3,4,9,5,6,1 (best chicken),7,11,8,2
2,11,9,5,1 (best chicken),8,3,10,4,6,12,7,13 (worst chicken)
1 (best chicken),2,3,4,5,6,8 (worst chicken),7,,,,,
1 (best chicken),4,2,3,2,1 (best chicken),1 (best chicken),1 (best chicken),,,,,
8 (worst chicken),7,3,6,5,4,1 (best chicken),2,,,,,
7,3,1 (best chicken),8 (worst chicken),3,3,3,2,,,,,
8 (worst chicken),6,5,7,4,2,3,1 (best chicken),,,,,
8 (worst chicken),5,7,6,4,2,3,1 (best chicken),,,,,
1 (best chicken),6,7,8 (worst chicken),3,5,2,4,,,,,
7,8 (worst chicken),6,5,4,2,3,1 (best chicken),,,,,
2,6,8 (worst chicken),5,4,3,1 (best chicken),7,,,,,
8 (worst chicken),5,7,6,1 (best chicken),4,3,2,,,,,
5,6,4,8 (worst chicken),3,1 (best chicken),2,7,,,,,
8 (worst chicken),6,3,7,5,1 (best chicken),2,4,,,,,
9 (worst chicken),7,5,1 (best chicken),2,6,4,8,3,,,,
11 (worst chicken),6,7,9,5,4,3,8,1 (best chicken),2,10,,
5,11 (worst chicken),6,2,1 (best chicken),7,4,8,3,10,9,,
,6,,,9,8,,,5,7,,,
,,,,1 (best chicken),,3,2,4,,,,
8,,10,3,7,9,6,4,2,1 (best chicken),7,,
,,,1 (best chicken),,,,,,,,,
9,8,4,6,1 (best chicken),2,4,5,2,4,9,8,7
,1 (best chicken),8,7,6,9,5,9,2,,,4,3
8,9,13 (worst chicken),10,3,4,2,5,1 (best chicken),12,11,6,7
4,13 (worst chicken),3,9,10,7,8,1 (best chicken),5,12,6,11,2
9,9,8,3,1 (best chicken),5,4,5,4,2,7,7,1 (best chicken)
2,,,,,,,,,,,,1 (best chicken)
7,2,13 (worst chicken),12,1 (best chicken),6,4,8,3,13 (worst chicken),13 (worst chicken),5,7
8,10,7,13 (worst chicken),6,2,1 (best chicken),11,5,9,12,4,3
6,5,10,13 (worst chicken),4,7,1 (best chicken),8,2,12,11,9,3
,,,,,5,2,4,6,1 (best chicken),3,,
2,3,2,3,1 (best chicken),3,3,1 (best chicken),1 (best chicken),2,3,3,4
1 (best chicken),,13 (worst chicken),7,2,8,5,9,6,,,4,10
4,5,9,10,11,3,1 (best chicken),5,2,6,7,10,13 (worst chicken)
7,3,8,2,4,5,6,9,1 (best chicken),12,13 (worst chicken),10,11
10,12,,9,3,6,5,7,4,8,11,2,1 (best chicken)
4,13 (worst chicken),3,9,10,7,8,1 (best chicken),5,12,6,11,2
4,,2,,5,,,,,,,3,1 (best chicken)
5,5,7,,3,,3,4,2,1 (best chicken),8,4,6
,,9,8,2,7,6,1 (best chicken),3,,4,,5
1 (best chicken),2,8,5,2,1 (best chicken),1 (best chicken),6,1 (best chicken),9,9,4,5
9,9,1 (best chicken),8,1 (best chicken),1 (best chicken),1 (best chicken),2,1 (best chicken),9,9,9,9
,4,,1 (best chicken),,5,2,,3,,,,
11,10,7,6,12,1 (best chicken),2,13 (worst chicken),4,5,8,9,3
12,10,8,9,3,2,7,,6,5,13 (worst chicken),4,1 (best chicken)
1 (best chicken),9,7,,6,9,2,8,4,5,,,3
6,3,1 (best chicken),7,2,3,3,1 (best chicken),1 (best chicken),5,5,2,9
12,8,11,5,4,6,3,6,2,13 (worst chicken),10,9,1 (best chicken)
3,,7,,6,5,9,4,2,,,8,1 (best chicken)
8,12,2,10,7,6,3,1 (best chicken),4,5,13 (worst chicken),2,10
,,1 (best chicken),,,,,,,,,,
8,7,9,10,2,5,6,4,11,13 (worst chicken),12,3,1 (best chicken)
8,7,6,1 (best chicken),9,5,5,8,6,6,6,2,2
5,10,12,11,1 (best chicken),9,8,7,6,13 (worst chicken),4,3,2
13 (worst chicken),10,11,8,5,7,4,9,3,1 (best chicken),12,2,6
3,13 (worst chicken),4,12,1 (best chicken),9,8,2,10,5,11,6,7
13 (worst chicken),13 (worst chicken),13 (worst chicken),7,7,1 (best chicken),1 (best chicken),13 (worst chicken),1 (best chicken),13 (worst chicken),13 (worst chicken),13 (worst chicken),1 (best chicken)
8,7,6,5,1 (best chicken),3,,9,4,,,2,
,,,4,3,5,1 (best chicken),6,2,,,,
5,6,2,3,4,12,10,7,11,1 (best chicken),8,13 (worst chicken),9
12,13 (worst chicken),11,4,9,6,5,12,2,3,7,1 (best chicken),8
4,,,,3,,,,1 (best chicken),,,,2
3,4,2,4,3,3,1 (best chicken),4,2,3,2,1 (best chicken),1 (best chicken)
13 (worst chicken),9,10,,2,5,3,11,6,7,12,8,1 (best chicken)
12,4,10,9,1 (best chicken),13 (worst chicken),7,8,3,6,11,2,5
8,9,7,8,5,3,2,1 (best chicken),7,6,,5,4
13 (worst chicken),12,5,3,2,6,9,10,7,8,4,11,1 (best chicken)
9,8,8,6,2,2,2,1 (best chicken),1 (best chicken),2,7,6,1 (best chicken)
1 (best chicken),8,9,7,2,3,5,,4,,,6,
9,6,13 (worst chicken),7,4,3,2,1 (best chicken),5,12,11,10,8
,,,,,,,,,,,,1 (best chicken)
1 (best chicken),3,7,11,2,6,4,12,5,9,10,8,13 (worst chicken)
2,7,9,13 (worst chicken),5,11,10,6,3,1 (best chicken),8,4,12
2,3,3,4,2,3,3,,3,,,3,1 (best chicken)
12,8,7,11,3,6,5,4,2,10,13 (worst chicken),9,1 (best chicken)
,,,4,3,5,1 (best chicken),6,2,,,,
,,,9,1 (best chicken),8,,,,,,,
1 (best chicken),,2,,7,3,5,4,7,,10,8,9
3,8,2,9,1 (best chicken),5,6,4,7,12,10,13 (worst chicken),11
5,7,9,3,1 (best chicken),3,1 (best chicken),4,1 (best chicken),6,6,2,1 (best chicken)
8,9,12,11,4,3,1 (best chicken),6,2,7,5,10,13 (worst chicken)
1 (best chicken),4,3,4,1 (best chicken),3,1 (best chicken),2,2,1 (best chicken),4,1 (best chicken),1 (best chicken)
8,9,4,,3,,6,2,5,,,1 (best chicken),7
4,9,7,8,3,,2,6,,5,,1 (best chicken),
13 (worst chicken),5,12,1 (best chicken),9,11,8,10,7,3,4,6,2
12,6,9,4,7,8,2,10,1 (best chicken),5,13 (worst chicken),11,6
2,11,5,12,1 (best chicken),6,7,3,8,10,4,9,13 (worst chicken)
1 (best chicken),,,,2,,,3,,4,,,
7,6,8,,,4,2,3,5,1 (best chicken),,9,
4,5,8,6,1 (best chicken),9,10,7,2,11,12,3,13 (worst chicken)
12,5,11,9,6,2,3,10,1 (best chicken),7,8,4,13 (worst chicken)
7,4,7,7,6,8,9,8,9,9,6,9,4
12,13 (worst chicken),3,5,2,8,9,6,11,1 (best chicken),4,7,10
7,,5,6,3,4,13 (worst chicken),2,12,1 (best chicken),8,11,10
1 (best chicken),9,9,2,3,4,6,5,9,9,9,9,7
1 (best chicken),3,2,4,1 (best chicken),2,2,1 (best chicken),1 (best chicken),3,3,1 (best chicken),1 (best chicken)
